,Start date,End date,Biomass [MWh] Calculated resolutions,Hydropower [MWh] Calculated resolutions,Wind offshore [MWh] Calculated resolutions,Wind onshore [MWh] Calculated resolutions,Photovoltaics [MWh] Calculated resolutions,Other renewable [MWh] Calculated resolutions,Nuclear [MWh] Calculated resolutions,Lignite [MWh] Calculated resolutions,Hard coal [MWh] Calculated resolutions,Fossil gas [MWh] Calculated resolutions,Hydro pumped storage [MWh] Calculated resolutions,Other conventional [MWh] Calculated resolutions,Year
1158,2018-03-04,2018-03-05,115059.0,33859.25,93668.5,308809.25,100455.25,5460.25,192004.0,401605.5,166495.5,107325.75,8181.25,30231.25,2018
1159,2018-03-05,2018-03-06,114038.75,35357.5,77318.0,232104.0,104489.25,5374.0,190049.5,402102.0,309189.0,148363.75,29961.25,30955.0,2018
1160,2018-03-06,2018-03-07,114024.0,39879.0,31447.5,109463.5,76481.0,5390.25,193229.5,408341.5,391371.0,205918.0,29578.5,28732.5,2018
1161,2018-03-07,2018-03-08,113139.0,40134.75,12500.0,140564.75,56922.5,5380.5,192870.0,405538.75,390723.25,202015.75,33640.0,29960.25,2018
1162,2018-03-08,2018-03-09,113898.0,38835.75,36414.5,430033.5,93282.5,5368.5,192723.25,396183.0,287873.75,117572.0,20173.0,32939.75,2018
1163,2018-03-09,2018-03-10,114675.25,35785.0,36689.0,339557.25,71754.25,5342.75,191663.0,379237.5,270690.75,129064.25,31374.5,32630.5,2018
1164,2018-03-10,2018-03-11,113869.75,35158.25,66654.5,225285.75,56037.0,5340.25,192052.0,383120.25,147306.0,102581.25,13016.5,32520.25,2018
1165,2018-03-11,2018-03-12,112531.0,35178.5,58556.75,189433.0,84286.5,4988.5,191210.0,357112.5,76962.25,84335.0,14514.75,30612.75,2018
1166,2018-03-12,2018-03-13,113186.25,40655.75,5677.0,187575.0,49397.75,5121.0,192127.0,389047.5,283484.0,122293.25,39860.75,31383.5,2018
1167,2018-03-13,2018-03-14,108176.25,42606.0,34041.5,398094.5,52338.5,5107.0,192220.5,385104.75,293562.0,109370.25,21463.0,27965.0,2018
1168,2018-03-14,2018-03-15,111830.75,44101.5,25667.5,122363.0,71454.0,5399.25,192952.25,390451.5,359976.0,123628.0,36862.5,31415.0,2018
1169,2018-03-15,2018-03-16,112707.5,41286.0,86757.75,548587.0,108585.25,5358.5,189653.5,316327.25,103568.5,113029.25,23124.25,29598.25,2018
1170,2018-03-16,2018-03-17,113203.5,42794.0,50940.5,531493.0,48726.0,5370.75,186379.75,302698.0,143159.0,124086.25,39325.5,29537.25,2018
1171,2018-03-17,2018-03-18,112128.0,39908.5,55327.75,728820.25,52766.75,5271.25,181580.5,176932.5,87972.5,85953.25,19670.25,27920.25,2018
1172,2018-03-18,2018-03-19,110885.25,36110.5,62768.75,688897.25,82333.5,4964.5,170628.0,194634.0,94270.5,79847.5,13761.25,26496.0,2018
1173,2018-03-19,2018-03-20,104507.0,37340.0,42928.25,207357.25,119135.25,5288.25,191699.25,379517.5,343819.25,159439.75,49102.5,28027.25,2018
1174,2018-03-20,2018-03-21,103968.0,37463.0,59531.0,284194.25,99836.0,5362.5,192185.75,381395.75,358322.0,170000.75,35936.0,28882.25,2018
1175,2018-03-21,2018-03-22,104902.25,35239.75,48032.0,146134.0,135522.25,5332.75,191039.0,402140.0,350205.0,194620.75,39679.0,28125.25,2018
1176,2018-03-22,2018-03-23,107461.5,33896.5,55413.5,355635.5,56306.5,5362.0,208527.5,389071.25,293865.25,165899.0,32826.25,27910.5,2018
