Start date;End date;Total (grid load) [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions
May 19, 2015;May 20, 2015;1,428,677.50;1,051,809.25;19,222.25
May 20, 2015;May 21, 2015;1,406,578.50;1,207,419.00;20,533.75
May 21, 2015;May 22, 2015;1,405,156.25;1,190,541.50;17,508.75
May 22, 2015;May 23, 2015;1,380,327.50;1,162,095.25;17,844.50
May 23, 2015;May 24, 2015;1,162,168.00;972,206.25;15,495.25
May 24, 2015;May 25, 2015;1,004,036.25;837,340.00;14,012.75
May 25, 2015;May 26, 2015;1,032,525.75;849,669.50;16,204.75
May 26, 2015;May 27, 2015;1,353,657.75;1,102,264.25;21,336.50
May 27, 2015;May 28, 2015;1,394,642.00;1,150,321.75;21,378.25
May 28, 2015;May 29, 2015;1,402,278.50;975,369.50;24,015.75
May 29, 2015;May 30, 2015;1,377,218.00;1,079,739.75;16,617.25
May 30, 2015;May 31, 2015;1,184,791.25;780,901.25;21,564.75
May 31, 2015;Jun 1, 2015;1,068,924.75;646,993.50;30,732.00
Jun 1, 2015;Jun 2, 2015;1,357,172.00;1,060,855.50;13,956.00
Jun 2, 2015;Jun 3, 2015;1,426,045.25;817,305.75;22,169.00
Jun 3, 2015;Jun 4, 2015;1,406,184.25;878,425.25;20,193.50
Jun 4, 2015;Jun 5, 2015;1,196,726.50;934,235.25;16,737.50
Jun 5, 2015;Jun 6, 2015;1,310,531.75;940,656.50;18,482.75
Jun 6, 2015;Jun 7, 2015;1,174,324.00;800,225.25;26,737.50
Jun 7, 2015;Jun 8, 2015;1,052,549.50;755,991.25;29,139.00
Jun 8, 2015;Jun 9, 2015;1,373,450.00;1,096,532.25;16,861.00
Jun 9, 2015;Jun 10, 2015;1,413,813.25;1,203,320.00;14,260.00
Jun 10, 2015;Jun 11, 2015;1,418,292.25;1,190,694.75;14,751.50
Jun 11, 2015;Jun 12, 2015;1,404,924.25;1,172,805.75;13,366.25
Jun 12, 2015;Jun 13, 2015;1,396,584.25;1,140,992.50;13,998.00
Jun 13, 2015;Jun 14, 2015;1,183,551.00;902,724.00;13,739.25
Jun 14, 2015;Jun 15, 2015;1,055,201.25;771,296.50;21,105.25
Jun 15, 2015;Jun 16, 2015;1,354,365.75;1,104,683.00;8,227.00
